compra_renta,tipo,precio,superficie,municipio
Renta,Casa en Renta Las Hadas Escobedo N.L,"$10,500",,Las Hadas
Renta,CASA EN RENTA PUERTA DE HIERRO (PRIVADA IBERUS),"$24,500",,Residencial Puerta de Hierro
Renta,"Casa amueblada en renta Paseo Amberes, Guadalupe, N.L.","$11,000",,N.L.
Renta,DEPARTAMENTO EN RENTA KYO ALUNA EN MONTERREY,"$22,500",1 m²,Centro
Renta,DEPARTAMENTO AMUEBLADO EN RENTA EN TORRE CENTRIKA ELITE MONTERREY NUEVO LEON,"$22,000",99 m²,Centrika
Renta,CASA EN RENTA EN GUADALUPE PEDREGAL DE GUADALUPE,"$6,000",1 m²,Pedregal de Guadalupe
Renta,DEPARTAMENTO EN RENTA EN MONTERREY NUEVO SUR 1 RECAMARA AMUEBLADO,"$22,000",1 m²,Ladrillera
Renta,CASA EN RENTA EN APODACA ALTARIA RESIDENCIAL EQUIPADA CON TERRENO EXCEDENTE,"$11,500",1 m²,Sebastián Elizondo II
Renta,"Casa en condominio en renta en Paseo Amberes, Guadalupe, Nuevo León","$11,000",105 m²,N.L.
Renta,"Casa en condominio en renta en Mirasur, General Escobedo, Nuevo León","$9,000",233 m²,Mirasur
Renta,"Casa en Renta Amueblada Santoral 4 habitaciones, García","$23,000",,N.L.
Renta,"Casa en renta Cumbres Provenza Tierra, García","$12,500",,Dominio Cumbres
Renta,Casa en Renta Montealban Residencial cerca del Uro en Monterrey,"$42,000",,Quince de Mayo (Larralde)
Renta,"Casa en Renta Montealban Residencial cerca HEB Uro, Monterrey","$36,500",,Monterrey
Renta,"Casa en Renta Carretera Nacional en Montealban Residencial, Monterrey","$42,000",,Monterrey
Renta,"Casa en Renta en Apodaca, cerca a Citadel y Paseo La Fé","$12,500",,Valle del Pedregal
Renta,Hermoso departamento  equipado,"$15,500",,Contry
Renta,"Casa de 1 piso, en Villa Las Fuentes, Sur, Monterrey","$20,000",160 m²,Villa Las Fuentes
Renta,Depa en RENTA 1 rec con terraza Centro de Monterrey Torre La Capital,"$17,227",,Centro
Renta,Departamento  en renta 2 rec 1 baño zona centro Monterrey,"$22,000",,Centro
Renta,CASA EN RENTA APODACA,"$9,000",130 m²,N.L.
Renta,Departamento en RENTA 2 Rec 1 Baños NO AMUEBLADO La Capital Centro Monterrey,"$21,428",,Centro
Renta,Casa - Obispado,"$185,000",1200 m²,Bosquencinos
Renta,Casa en Renta Semiamueblada Residencial Santa Sofia Apodaca,"$10,400",,Privalia Huinalá
Renta,Renta Departamento en Santa Catarina en Torre Jardin Secreto cercano a Consulado Americano,"$25,419",,Sin Nombre de Col 25
Renta,Hermosa Casa en RENTA en Cumbres Cerradas,"$19,000",,Monterrey
Renta,Departamento - Del Valle,"$18,000",,Del Valle
Renta,Casa en Renta en Ciénega de Flores,"$30,000",522 m²,Ciénega de Flores
Renta,LZ RENTA DE CASA EN PRIVALIA HUINALA,"$7,500",96 m²,Privalia Huinalá
Renta,CASA EN RENTA PUERTA DE HIERRO,"$12,800",124 m²,Monterrey
Renta,CASA EN RENTA PASEO DEL VERGEL,"$23,000",112 m²,Paseo Del Vergel
Renta,CASA EN RENTA GRAN RESERVA SECTOR HIMALAYA,"$20,000",,N.L.
Renta,DEPARTAMENTO EN RENTA COLONIA LOMAS-CHEPEVERA,"$9,500",,Lomas
Renta,CASA EN RENTA PUERTA DE HIERRO (PRIVADA ARAGÓN),"$20,000",150 m²,Monterrey
Renta,CASA EN RENTA PUERTA DE HIERRO (PRIVADA IBERUS),"$24,500",,Residencial Puerta de Hierro
Renta,CASA EN RENTA CERRADAS DE CUMBRES,"$12,500",,Cerradas de Cumbres Sector Norte
Renta,CASA EN RENTA ZONA CUMBRES,"$18,000",,Hacienda Mitras
Renta,Casa en Renta Col PASEO DE CUMBRES MONTERREY NUEVO LEON,"$23,500",166 m²,Paseo de Cumbres 1er Sector
Renta,Casa en Renta Col Vistas de las Mitras Garcia Nuevo Leon,"$6,000",98 m²,N.L.
Renta,Casa en Renta Col Triana Apodaca NL,"$7,900",,Triana
Renta,CASA EN RENTA PRIVADAS DE SANTA ROSA,"$8,000",,Privadas de Santa Rosa
Renta,Casa en renta Apodaca Centro Aeropuerto,"$14,000",,Cd Apodaca
Renta,CASA EN RENTA TOTALMENTE NUEVA; AMUEBLADA EN PARAJE SANTA ROSA,"$12,000",95 m²,Paraje Santa Rosa
Renta,CASA RENTA  VISTANCIA 2 SECTOR CARRETERA NACIONAL EN MONTERREY,"$42,500",200 m²,Monterrey
Renta,Casa Cumbres Samsara Garcia Nuevo Leon,"$17,000",,N.L.
Renta,RENTA DE DEPARTAMENTO ZONA TEC,"$21,000",60 m²,Tecnológico
Renta,Renta Departamento en Santa Catarina en Torre Jardin Secreto cercano a Consulado Americano,"$25,419",,Sin Nombre de Col 25
Renta,"CASA EN RENTA EN ESTANZA RESIDENCIAL, MTY, N.L.","$30,000",,Pedregal La Silla
Renta,Departamentos en Renta Tec Monterrey,"$8,500",,Tecnológico
Renta,Casa en Renta Capellania Residencial Apodaca,"$11,500",,Cd Apodaca
Renta,Departamento en Renta Monterrey Centro,"$9,000",,Maria Luisa
Renta,Casa en Renta Puerta del Sol en Escobedo,"$10,000",,Paseo Real 1er Sector
Renta,Casa en Renta Puerta de Hierro Monterrey,"$23,000",,Monterrey
Renta,Casa en Renta Las Hadas Escobedo N.L,"$10,500",,Las Hadas
Renta,Casa en Renta Cumbres Madeiras Monterrey,"$24,000",,Cumbres Madeira
Renta,CASA EN RENTA pet friendly PUERTA DE HIERRO CUMBRES MONTERREY,"$17,500",133 m²,Residencial Puerta de Hierro
Renta,CASA EN RENTA equipada y pet friendly por cumbres del sol CUMBRES PLATINUM,"$24,000",128 m²,Cumbres del Sol
Renta,CASA EN RENTA equipada y pet friendly MITRAS BICENTENARIO GARCIA,"$8,000",73 m²,Mitras Bicentenario
Renta,CASA EN RENTA pet friendly por tampiquito y valle CAPISTRANO SAN PEDRO,"$29,000",120 m²,Zona Tampiquito
Renta,CASA EN RENTA pet friendly CERRADAS DE CUMBRES MONTERREY,"$14,600",129 m²,Cerradas de Cumbres
Renta,DEPARTAMENTO penthouse en RENTA pet friendly VEREDALTA ZONA VALLE SAN PEDRO,"$130,000",,Punto Central
Renta,DEPARTAMENTO EN RENTA NUEVA MADERO MONTERREY,"$7,000",,Nueva Madero
Renta,"CASA AMUEBLADA EN ESCOBEDO, CAMPO AMOR","$16,500",,Cd Gral Escobedo
Renta,HERMOSA QUINTA CON CASA EN RENTA MARIN NUEVO LEON,"$20,000",,Marín
Renta,CASA NUEVA EN RENTA EQUIPADA EN KATAVIA APODACA,"$22,000",,N.L.
Renta,CASA EN RENTA AMUEBLADA EN PRIVENZA APODACA,"$15,000",,N.L.
Renta,CASA SEMIAMUEBLADA ALMERIA APODACA,"$9,500",,Almería
Renta,HERMOSA CASA EN RENTA AMUEBLADA EN PARAJE SANTA ROSA APODACA,"$12,000",,N.L.
Renta,CASA EN RENTA pet friendly PUERTA DE HIERRO CUMBRES MONTERREY,"$17,500",133 m²,Residencial Puerta de Hierro
Renta,CASA RENTA  VISTANCIA 2 SECTOR CARRETERA NACIONAL EN MONTERREY,"$42,500",200 m²,Monterrey
Renta,"Casa de 1 piso, en Villa Las Fuentes, Sur, Monterrey","$20,000",160 m²,Villa Las Fuentes
Renta,DEPARTAMENTO AMUEBLADO EN RINCONADA APODACA,"$8,500",,N.L.
Renta,CASA EN RENTA EN SAN NICOLAS,"$8,500",,Constituyentes de Queretaro 5o Sector
Renta,CASA EN RENTA EN PRIVADA EN PUERTA DE HIERRO,"$17,500",133 m²,Monterrey
Renta,Casa en renta en Valle Azul Apodaca amueblada ideal para 5 personas,"$12,500",105 m²,Valle Azul
Renta,"Casa en renta en Valle Azul, Apodaca Nuevo León frente a parque","$10,000",105 m²,N.L.
Renta,CARRETERA NACIONAL CASA EN RENTA O VENTA RESIDENCIAL CLUB DE GOLF LA HERRADURA.,"$55,000",620 m²,Sin Nombre de Col 51
Renta,"CASA AMUEBLADA EN RENTA, CERCA DEL AEROPUERTO, APODACA, N.L.","$14,000",,Apodaca Centro
Renta,"ZONA SUR CASA EN RENTA EN PRIVADAS DEL PASEO, MONTERREY, N.L.","$38,000",207 m²,Lomas del Paseo
Renta,"DEPARTAMENTO EN RENTA COMPLETAMENTE AMUEBLADO EN BOSQUES DE LA PASTORA, GPE, NL","$15,000",,Bosques de La Pastora 2o Sector
Renta,"ZONA TEC DEPARTEMENTO EN RENTA AMUEBLADO EN NUEVO SUR, MONTERREY, N.L.","$22,000",,Ladrillera
Renta,1 Recamara equipado y excelentes amenidades area Tec de Monterrey,"$22,000",,Ladrillera
Renta,Zona Tec -Departamento de 1 Recamara con excelentes amenidades,"$22,000",,Lth
Renta,Departamento 2 Recamaras equipado  a 5 min del Tec.,"$32,000",,Ladrillera
Renta,2 Recamaras centro de Monterrey con excelentes amenidades,"$22,000",,Centro
Renta,Deparatmento Loft con excelentes amenidades,"$14,700",,Centro
Renta,1 Recamara centro de Monterrey con excelentes amenidades,"$19,027",,Centro
Renta,RENTA DE CASA CONTRY SOL GUADALUPE N.L.,"$32,000",250 m²,Contry Sol
Renta,RENTA DE DEPARTAMENTO ZONA TEC,"$21,000",60 m²,Tecnológico
Renta,RZ RENTA DE SUITES AMUEBLADA EN SAN PEDRO,"$18,000",33 m²,Fuentes del Valle
Renta,RZ RENTA DE DEPARTAMENTO EN SAN PEDRO,"$25,000",60 m²,Fuentes del Valle
Renta,Casa en Renta Amueblada en El Uro,"$99,000",2000 m²,Col. El Uro
Renta,CASA SEMIAMUEBLADA ALMERIA APODACA,"$9,500",,Almería
Renta,CASA HABITACION EN RENTA EN ESCOBEDO NL COL. PRIVADAS DEL CANADA / SECTOR ONTARIO /PRIVADA/ESQUINA/,"$19,500",168 m²,Cd Gral Escobedo
Renta,RZ RENTA DE SUITE EN SAN PEDRO,"$17,500",28 m²,Fuentes del Valle
Renta,RENTA DE CASA EN DOMINIO CUMBRES,"$16,500",122 m²,N.L.
Renta,Casa - Las Lomas Sector Bosques,"$13,000",96 m²,Las Lomas Sector Bosques
Renta,Departamento - Residencial Santa Fé,"$18,000",,Los Cristales 1er Sector
Renta,Departamento  RENTA 2 rec 1 baños NO Amueblado LATITUD Valle Oriente San Pedro,"$29,380",,Ampliación Valle del Mirador
