compra_renta,tipo,precio,superficie,municipio
Venta,"Departamentos en Venta en ARIA en Monterrey, Nuevo León","$1,928,863",38-76 m²,"Centro, Calzada Madero, Esq. con Emilio Carranza, Centro, 64000 Monterrey, N.L"
Venta,"Departamentos en Preventa en Vía Cuatro Seis, Monterrey, Nuevo León","$1,980,000",50-90 m²,"Guadalupe, Miguel Alemán 4450, Guadalupe, Nuevo León, México."
Venta,"Casas en Venta en Residencial Las Misiones, Saltillo, Coahuila","$3,280,000",210-230 m²,"Sin Nombre de Col 18, Blvd. La Misión S/N, Sin Nombre de Col 18, 25070 Saltillo, Coahuila"
Venta,"Casas en Venta en Rincón de Foret en Saltillo, Coahuila","$2,409,799",203-256 m²,"Eulalio Gutiérrez Treviño, Bosques de Chinón 114, Rincón de Foret, 25085 Saltillo, Coah."
Venta,"Estrena Casa en Venta Carretera Nacional en Carolco, Monterrey","$10,100,000",305 m²,Monterrey
Venta,Departamento en Venta en Valle Oriente,"$8,096,465",79 m²,Valle Oriente
Venta,DEPARTAMENTO EN VENTA MONTERREY CENTRIKA TORRE ELITE AMUEBLADO,"$2,500,000",74 m²,Centrika
Venta,Venta departamento zona sur monterrey,"$5,900,000",,Predio Residencial Satélite Regiomontano
Venta,"Departamento en venta en Residencial Dinastía, Monterrey, Nuevo León.","$5,450,000",,Dinastía
Venta,QUINTA EN VENTA PORTAL DEL NORTE ZUAZUA,"$2,980,000",480 m²,Portal del Norte
Venta,COLONIA LADRILLERA AL SUR DE MONTERREY NUEVO LEON,"$3,600,000",351 m²,Lth
Venta,ARBADO SECTOR MONARCA APODACA,"$4,490,000",210 m²,N.L.
Venta,"PRO5261 Casas en Venta, Balcones del Valle en San Pedro Garza Garcia","$19,000,000",695 m²,Balcones del Valle
Venta,Casas Venta San Pedro Garza García Zona Valle 27-CV-4500,"$29,900,000",500 m²,Del Valle
Venta,Departamentos Venta Santa Catarina Zona Santa Catarina 27-DV-4502,"$2,450,000",64 m²,Pedregal de la Huasteca
Venta,"PRO5316 Casas en Venta, Contry Las Aguilas en Guadalupe","$12,100,000",506 m²,Contry Las Águilas
Venta,CASA EN VENTA EN ESQUINA EN HACIENDA REAL EN JUAREZ NUEVO LEON,"$780,000",121 m²,N.L.
Venta,AMPLIA CASA EN VENTA EN COL. AÑO DE JUAREZ EN SAN NICOLAS,"$1,900,000",160 m²,Año de Juárez
Venta,DEPARTAMENTO EN VENTA A 2 MINUTOS DE ROMULO GARZA CORRAL DE PIEDRA EN SAN NICOLAS,"$1,350,000",88 m²,Sin Nombre de Col 36
Venta,"PRO5353 Casas en Venta, Las Torres en Monterrey","$7,200,000",298 m²,Las Torres
Venta,"PRO5326 Casas en Venta, Las Brisas en Monterrey","$6,680,000",225 m²,Las Brisas 8o. Sector
Venta,"PRO5340 Casas en Venta, La Joya en Monterrey","$14,300,000",468 m²,Sin Nombre de Col 51
Venta,"PRO5350 Casas en Venta, Amorada en Santiago","$6,700,000",250 m²,Los Rodríguez
Venta,"PRO5348 Casas en Venta, Satelite Acueducto en Monterrey","$6,100,000",172 m²,Cd Satélite
Venta,CASA EN ESQUINA EN VENTA EN MISION SAN JOSE EN APODACA,"$1,790,000",110 m²,Misión San José 1er Sector
Venta,Casa - Residencial Santuario,"$3,280,000",130 m²,N.L.
Venta,Casa - Cumbres,"$3,245,000",152 m²,Cumbres 5o. Sector Secc D
