compra_renta,tipo,precio,superficie,municipio,recamaras,banios,publicado,sitio
Renta," Hermosa Casa En Quinta Real Residencial, Nuevo León ",MX$14.150,  270 m² ," 66610, Apodaca, Nuevo León ",  4 Rec. ,  4 Baños ,Hace +30 días,Icasas.mx
Renta," Excelente Casa En Col. La Alianza, Nuevo Leon ",MX$11.800,  160 m² ," 64103, Monterrey, Nuevo León ",  8 Rec. ,  8 Baños ,Hace +30 días,Icasas.mx
Renta," Agradable Casa 2 Recamaras En Motagua, Nuevo León ",MX$5.000,  50 m² ," 66583, Monterrey, Nuevo León ",  2 Rec. ,  1 Baños ,Hace +30 días,Icasas.mx
Renta, Estrena Departamento 2 Habitación En Monterrey Nuevo Leon ,MX$16.000,  70 m² ," 64000, Monterrey, Nuevo León ",  2 Rec. ,  1 Baños ,Hace 19 días,Icasas.mx
Renta," Hermosa Y Amplia Casa En Las Hadas, Nuevo León! ",MX$11.300,  90 m² ," 66058, Abasolo, Nuevo León ",  2 Rec. ,  1 Baños ,Hace +30 días,Icasas.mx
Renta," Departamento A Estrenar De 2 Habitación, Ubicado En Monterrey Nuevo León ",MX$16.000,  70 m² ," 64000, Monterrey, Nuevo León ",  2 Rec. ,  1 Baños ,Hace 18 días,Icasas.mx
Renta," Departamento en Renta, Monterrey, Nuevo León ",MX$22.500,  75 m² ," 64000, Monterrey, Nuevo León ",  2 Rec. ,  1 Baños ,Hace +30 días,Vivanuncios
Renta, Casa En Renta Amueblada Guadalupe Nuevo Leon ,MX$16.150,," Guadalupe, Nuevo León ",  3 Rec. ,  2 Baños ,Hace 17 días,Lamudi
Renta," Departamento A Estrenar De 1 Habitación, Ubicado En Monterrey Nuevo León ",MX$13.000,  52 m² ," 64000, Monterrey, Nuevo León ",  1 Rec. ,  1 Baños ,Hace +30 días,Icasas.mx
Renta," Cómoda Casa De 2 Niveles En Fraccionamiento Paraje Juárez, Nuevo León ",MX$6.000,  92 m² ," 67265, Benito Juárez, Juárez, Nuevo León ",  3 Rec. ,  1 Baños ,Hace +30 días,Icasas.mx
Renta," Exclusivo Departamento Céntrico, Nuevo, Amplio Y Muy Iluminado ",MX$23.000,  82 m² ," 64580, Monterrey, Nuevo León ",  2 Rec. ,  2 Baños ,Hace 5 días,Icasas.mx
Renta," Linda Casa En Fomerrey 51, Monterrey ",MX$12.500,  105 m² ," 64109, Monterrey, Nuevo León ",  4 Rec. ,  1 Baños ,Hace +30 días,Icasas.mx
Renta," Departamento en Renta, Apodaca, Nuevo León ",MX$18.000,  115 m² ," 66604, Apodaca, Nuevo León ",  2 Rec. ,  2 Baños ,Hace 2 días,Vivanuncios
Renta, Departamento En Renta En Centro De Monterrey Nuevo Leon ,MX$28.100,  106 m² ," Monterrey, Nuevo León ",  3 Rec. ,  2 Baños ,Hace +30 días,Lamudi
Renta, Exclusiva Casa A 5 Minutos De Polideportivo Tigres ,MX$15.400,  200 m² ," 66059, Nuevo León ",  3 Rec. ,  2 Baños ,Hace +30 días,Icasas.mx
Renta, Agradable Casa En Fraccionamiento Privadas De La Silla ,MX$4.550,  50 m² ," 67286, Nuevo León ",  2 Rec. ,  2 Baños ,Hace +30 días,Icasas.mx
Renta, Amplia Casa En Esquina Y Con Terreno Excedente En Zona Cumbres ,MX$13.550,  140 m² ," 66024, García, Nuevo León ",  3 Rec. ,  3 Baños ,Hace +30 días,Icasas.mx
Renta, Magnífica Casa En Fraccionamiento Hacienda San Pedro ,MX$30.000,  510 m² ," 65780, Nuevo León ",  2 Rec. ,  2 Baños ,Hace +30 días,Icasas.mx
Renta," Casa en Renta, Apodaca, Nuevo León ",MX$16.500,  185 m² ," 66604, Apodaca, Nuevo León ",  3 Rec. ,  2 Baños ,Hace +1 año,Vivanuncios
Renta, Edificio En Renta En Monterrey En Nuevo León ,MX$68.000,  550 m² ," Monterrey, Nuevo León ",,,Hace +30 días,Lamudi
Renta," Departamento en Renta, Apodaca, Nuevo León ",MX$17.500,  67 m² ," 66637, Apodaca, Nuevo León ",  1 Rec. ,  1 Baños ,Hace +30 días,Vivanuncios
Renta," Casa en Renta, Apodaca, Nuevo León ",MX$16.000,  185 m² ," 66609, Apodaca, Nuevo León ",  3 Rec. ,  3 Baños ,Hace 2 días,Vivanuncios
Renta," Departamento en Renta, Monterrey, Nuevo León ",MX$6.000,  20 m² ," 64620, Monterrey, Nuevo León ",  1 Rec. ,  1 Baños ,Hace 15 días,Vivanuncios
Renta, Departamento amueblado de una habitación cerca de la UANL ,MX$5.500,  55 m² ," San Nicolás de los Garza, Nuevo León ",  1 Rec. ,  1 Baños ,Hace 10 días,Inmuebles y mas
Renta," Casa en Renta, Apodaca, Nuevo León ",MX$12.500,  140 m² ," 66634, Apodaca, Nuevo León ",  3 Rec. ,  2 Baños ,Hace 13 días,Vivanuncios
Renta, Casa En Renta Zona Cumbres Garcia Nuevo Leon ,MX$16.000,  155 m² ," García, Nuevo León ",  3 Rec. ,  3 Baños ,Hace +30 días,Lamudi
Renta," Departamento en Renta, Monterrey, Nuevo León ",MX$12.000,  60 m² ," 64000, Monterrey, Nuevo León ",  1 Rec. ,  1 Baños ,Hace +30 días,Vivanuncios
Renta," Lindo Departamento En Ciudad Satélite, Nuevo León ",MX$11.500,  115 m² ," 64960, Monterrey, Nuevo León ",  2 Rec. ,  1 Baños ,Hace +30 días,Icasas.mx
Renta," Departamento A Estrenar De 1 Habitación, Ubicado En Monterrey Nuevo León ",MX$13.000,  123 m² ," 64000, Monterrey, Nuevo León ",  1 Rec. ,  1 Baños ,Hace 24 días,Icasas.mx
Renta," Departamento A Estrenar De 1 Habitación, Ubicado En Monterrey Nuevo León ",MX$13.000,  123 m² ," 64000, Monterrey, Nuevo León ",  1 Rec. ,  1 Baños ,Hace 24 días,Icasas.mx
Renta," Departamento Amueblado Con Ideal Ubicación En Cadereyta, Nuevo León ",MX$8.500,  70 m² ," 67485, Cadereyta Jiménez, Nuevo León ",  2 Rec. ,  1 Baños ,Hace +30 días,Icasas.mx
Renta," Departamento en Renta, Apodaca, Nuevo León ",MX$15.000,  70 m² ," 66633, Apodaca, Nuevo León ",  2 Rec. ,  2 Baños ,Hace +30 días,Vivanuncios
Renta," Departamento en Renta, Apodaca, Nuevo León ",MX$16.000,  64 m² ," 66637, Apodaca, Nuevo León ",  2 Rec. ,  2 Baños ,Hace 17 días,Vivanuncios
Renta, Oficina en Renta ,MX$80.000,," 64040, Monterrey, Nuevo León ",,,Hace +30 días,REMAX
