compra_renta,tipo,precio,superficie,municipio
Venta,"Departamentos en Preventa en Vía Cuatro Seis, Monterrey, Nuevo León","$1,980,000",50-90 m²,"Guadalupe, Miguel Alemán 4450, Guadalupe, Nuevo León, México."
Venta,"Departamentos en Venta en ARIA en Monterrey, Nuevo León","$1,887,420",38-92 m²,"Centro, Calzada Madero, Esq. con Emilio Carranza, Centro, 64000 Monterrey, N.L"
Venta,"Casas en Venta en Residencial Las Misiones, Saltillo, Coahuila","$3,280,000",210-230 m²,"Sin Nombre de Col 18, Blvd. La Misión S/N, Sin Nombre de Col 18, 25070 Saltillo, Coahuila"
Venta,"Casas en Venta en Rincón de Foret en Saltillo, Coahuila","$2,409,799",203-256 m²,"Eulalio Gutiérrez Treviño, Bosques de Chinón 114, Rincón de Foret, 25085 Saltillo, Coah."
Venta,CASA EN VENTA FRACCIONAMIENTO CRYSTAL LAGOONS APODACA,"$2,800,000",112 m²,Cd Apodaca
Venta,CASA VENTA CASTANOS DEL VERGEL  CARRETERA NACIONAL EN MONTERREY CERCA URO,"$8,190,000",251 m²,Sin Nombre de Col 51
Venta,CASA EN VENTA RESIDENCIAL CHIPINQUE 3ER SECTOR SAN PEDRO,"$21,500,000",340 m²,Residencial Chipinque 3ER Sector
Venta,CASA EN VENTA EN APODACA EN VALLE DE PALMAS 3 RECAMARAS,"$2,435,000",90 m²,Valle de Las Palmas I
Venta,DEPARTAMENTO EN VENTA EN MONTERREY AMO LIVING EQUIPADO,"$2,230,000",46 m²,Mitras Centro
Venta,CASA EN VENTA EN APODACA EN DREAM LAGOONS 3 RECAMARAS,"$2,450,000",112 m²,Dream Lagoons
Venta,CASA EN VENTA EN ESCOBEDO LA PROVIDENCIA 2 RECAMARAS,"$1,240,000",1 m²,Unión Benito Juárez
Venta,CASA EN VENTA MONTERREY MISION CUMBRES 3 RECAMARAS,"$3,565,000",197 m²,Misión Cumbres
Venta,CASA EN VENTA CARRETERA NACIONAL MONTERREY RESIDENCIAL THESSALIA,"$5,780,000",160 m²,Pedregal La Silla
Venta,CASA EN VENTA EN MONTERREY VALLE DE LAS BRISAS 4 RECAMARAS,"$6,680,000",225 m²,Las Brisas
Venta,CASA EN VENTA EN SAN PEDRO GARZA GARCIA EN LA DEL VALLE EQUIPADA,"$16,900,000",450 m²,Del Valle
Venta,CASA EN VENTA EN SAN PEDRO GARZA GARCIA EN LA CIMA TRES NIVELES EN PRIVADA,"$32,500,000",400 m²,La Cima 1er Sector
